date,Control (non-CBD),Treated (CBD)
2024-11-08,7.916666666666667,75.69895833333334
2024-11-09,6.842275494672755,83.99895833333333
2024-11-10,6.2656012176560125,66.58229166666666
2024-11-11,6.924086757990867,52.484375
2024-11-12,7.992770167427702,72.56666666666666
2024-11-13,8.073059360730594,77.684375
2024-11-14,8.379946727549468,83.125
2024-11-15,7.994482496194825,75.96979166666667
2024-11-16,6.820015220700152,87.27291666666666
2024-11-17,6.290905631659056,66.08958333333334
2024-11-18,7.403348554033485,57.93125
2024-11-19,7.668188736681888,71.44166666666666
2024-11-20,8.089611872146119,78.37708333333333
2024-11-21,8.844748858447488,87.13541666666667
2024-11-22,8.767884322678844,82.19166666666666
2024-11-23,6.666095890410959,81.35729166666667
2024-11-24,5.845509893455099,63.422916666666666
2024-11-25,6.978500761035008,58.365625
2024-11-26,7.667047184170472,63.552083333333336
2024-11-27,7.168569254185693,59.24791666666667
2024-11-28,4.519025875190259,39.1625
2024-11-29,4.7562785388127855,53.88854166666667
2024-11-30,5.569634703196347,64.33958333333334
2024-12-01,5.940829528158296,55.28333333333333
2024-12-02,8.230403348554033,60.192708333333336
2024-12-03,8.658675799086758,74.28645833333333
2024-12-04,8.650684931506849,77.8
2024-12-05,9.091324200913242,87.01666666666667
2024-12-06,8.982496194824963,84.15729166666667
2024-12-07,7.478881278538813,90.28958333333334
2024-12-08,6.891742770167427,69.096875
2024-12-09,8.079908675799087,65.16666666666667
2024-12-10,8.76769406392694,79.6
2024-12-11,8.492389649923897,82.96354166666667
2024-12-12,9.838089802130899,89.290625
2024-12-13,9.27644596651446,91.36875
2024-12-14,8.140601217656013,93.99583333333334
2024-12-15,6.9746955859969555,72.28645833333333
2024-12-16,7.6478310502283104,63.11666666666667
2024-12-17,8.117579908675799,76.60833333333333
2024-12-18,8.610159817351597,80.51979166666666
2024-12-19,8.731164383561644,82.884375
2024-12-20,8.231735159817351,78.01770833333333
2024-12-21,6.57210806697108,76.39270833333333
2024-12-22,5.41400304414003,59.9375
2024-12-23,5.982876712328767,52.225
2024-12-24,5.055555555555555,43.12708333333333
2024-12-25,3.1196727549467274,29.4375
2024-12-26,4.514269406392694,45.06458333333333
2024-12-27,5.149162861491629,51.526041666666664
2024-12-28,4.644406392694064,55.96458333333333
2024-12-29,4.474124809741248,48.69166666666667
2024-12-30,5.244292237442922,48.12916666666667
2024-12-31,5.484779299847793,46.96458333333333
2025-01-01,4.3108828006088284,49.014583333333334
2025-01-02,5.548135464231355,49.90416666666667
2025-01-03,5.850456621004566,54.63333333333333
2025-01-04,5.581430745814307,61.94895833333333
2025-01-05,5.100456621004566,46.725
2025-01-06,5.965563165905632,42.940625
2025-01-07,6.853881278538813,54.478125
2025-01-08,6.941210045662101,61.646875
2025-01-09,7.241628614916286,64.04270833333334
2025-01-10,6.8715753424657535,60.036458333333336
2025-01-11,5.959665144596651,70.55833333333334
2025-01-12,5.33523592085236,54.97291666666667
2025-01-13,6.300799086757991,53.60208333333333
2025-01-14,6.861491628614917,66.29270833333334
2025-01-15,7.130327245053272,67.59479166666667
2025-01-16,7.384322678843227,73.62916666666666
2025-01-17,6.804033485540335,62.065625
2025-01-18,5.3715753424657535,66.56041666666667
2025-01-19,4.65810502283105,54.97708333333333
2025-01-20,5.302130898021309,38.925
2025-01-21,6.958904109589041,57.25625
2025-01-22,6.824010654490107,65.23229166666667
2025-01-23,7.31544901065449,70.278125
2025-01-24,7.12937595129376,66.48645833333333
2025-01-25,5.9488203957382035,77.096875
2025-01-26,5.195966514459665,53.74583333333333
2025-01-27,6.303462709284627,48.1625
2025-01-28,6.748668188736682,60.809375
2025-01-29,6.816210045662101,65.90520833333333
2025-01-30,7.1187214611872145,71.28020833333333
2025-01-31,6.9558599695586,64.71145833333334
2025-02-01,6.057838660578387,76.97083333333333
2025-02-02,5.588089802130898,59.19375
2025-02-03,6.20148401826484,49.677083333333336
2025-02-04,6.750951293759513,64.29791666666667
2025-02-05,6.986301369863014,68.88333333333334
2025-02-06,6.6503044140030445,67.09583333333333
2025-02-07,7.113774733637747,69.946875
2025-02-08,5.8748097412480975,74.75833333333334
2025-02-09,5.442161339421613,49.43958333333333
2025-02-10,6.624048706240487,52.82395833333333
2025-02-11,6.748858447488584,64.590625
2025-02-12,6.62937595129376,65.76875
2025-02-13,6.966704718417047,70.72604166666666
2025-02-14,7.230213089802131,69.54375
2025-02-15,5.023401826484018,70.82291666666667
2025-02-16,4.150494672754947,52.59166666666667
2025-02-17,5.164954337899544,46.48229166666667
2025-02-18,6.701864535768645,59.975
2025-02-19,6.712709284627093,64.72395833333333
2025-02-20,7.064878234398782,72.415625
2025-02-21,7.018455098934551,65.84375
2025-02-22,5.540144596651446,70.603125
2025-02-23,5.257420091324201,52.77708333333333
2025-02-24,6.43968797564688,47.16458333333333
2025-02-25,6.804223744292237,59.94583333333333
2025-02-26,7.127853881278539,67.04166666666667
2025-02-27,7.44482496194825,74.32604166666667
2025-02-28,7.40810502283105,70.25208333333333
