week,beta,se,ci_lower,ci_upper
-8,0.0,0.0,0.0,0.0
-7,-0.01433030424796337,0.007003637202461011,-0.02805743316478695,-0.0006031753311397901
-6,0.011830222563922176,0.028550923332929978,-0.04412958716862058,0.06779003229646494
-5,0.014560336350838017,0.010736027601275637,-0.006482277747662231,0.03560295044933826
-4,0.10424876351399702,0.008757112660464889,0.08708482269948584,0.1214127043285082
-3,0.049655144099032704,0.008786566297981186,0.03243347415498958,0.06687681404307583
0,-0.2525259786913308,0.015204602613155345,-0.28232699981311526,-0.22272495756954633
1,-0.16088462041785745,0.01263182219480207,-0.18564299191966951,-0.13612624891604538
2,-0.19343457290152427,0.014705874395292615,-0.2222580867162978,-0.16461105908675075
3,-0.1675553440933428,0.013355092329900713,-0.1937313250599482,-0.1413793631267374
4,-0.13697059273189519,0.014282337542750255,-0.16496397431568569,-0.10897721114810469
5,-0.14619417113447408,0.013784989788422873,-0.1732127511197829,-0.11917559114916525
6,-0.1625494185372127,0.016732431882778072,-0.19534498502745773,-0.12975385204696765
7,-0.2036049828366758,0.012837092907731435,-0.2287656849358294,-0.1784442807375222
