feature,mean_abs_shap
num__n_trips_lag_1h,16.611793753596302
num__n_trips_lag_168h,4.394950813544197
num__n_trips_lag_24h,3.2030728360727414
num__avg_fare_missing,0.9970688203952003
num__hour_cos,0.8080737467928698
num__dayofweek,0.26997054671996235
num__n_trips_ma_24h,0.2686930720634666
num__hour_sin,0.20871524127665067
num__hour,0.19458436723188907
num__is_holiday,0.16930431765030743
num__treated_zone,0.11241690159855293
num__humidity,0.09844100449045881
num__wind_speed,0.09514233955607054
cat__zone_cluster_3.0,0.08304827101310909
num__is_manhattan,0.06756571840208853
num__month,0.0670338497961424
num__temp_c,0.05717285503162757
num__post_policy,0.02486594845475114
cat__zone_cluster_0.0,0.02430928164602183
num__did,0.021147153531671663
cat__PULocationID_142,0.01750611632162756
cat__PULocationID_236,0.015680623198767167
cat__PULocationID_234,0.010226769870962917
num__is_airport,0.009900474532637198
cat__PULocationID_161,0.009145512933190948
cat__PULocationID_230,0.008160250279721547
cat__PULocationID_148,0.007732888643581296
num__precip_mm,0.007185376865012429
cat__PULocationID_237,0.006531262182428536
cat__PULocationID_48,0.006497133054252785
